contribution_id,event_id,partner_id,contribution_type,contribution_description,contribution_estimated_value,contribution_date
400000001,300000001,200000001,cash,Event sponsorship,50000,2024-03-10
400000002,300000002,200000002,in-kind,Guest speakers,,2024-04-05
400000003,300000003,200000003,cash,Prize funding,30000,2024-05-01
400000004,300000004,200000004,in-kind,Equipment support,,2024-06-15
400000005,300000005,200000005,cash,Expo booth,80000,2024-07-20
400000006,,200000006,cash,General donation,5000,2024-08-01
400000007,300000007,200000007,in-kind,Training materials,,2024-09-10
400000008,300000008,200000008,cash,Demo funding,18000,2024-10-05
400000009,300000009,200000009,cash,Research grant,9000,2024-11-01
400000010,300000010,200000010,in-kind,Logistics support,,2024-12-01
